prob_default,pred_bestF1_0.15,customer_id,,,,,,
0.007153076,0,100000,,,,,,
0.016736402,0,100001,,,,,,
0.080347448,0,100002,,,,,,
0.080347448,0,100003,,,,,,
0.035409035,0,100004,,,,,,
0.018726592,0,100005,,,,,,
0.009876543,0,100006,,,,,,
0.024497487,0,100007,,,,,,
0.004694836,0,100008,,,,,,
0.024497487,0,100009,,,,,,
0.016736402,0,100010,,,,,,
0.018726592,0,100011,,,,,,
0.024497487,0,100012,,,,,,
0.007153076,0,100013,,,,,,
0.016736402,0,100014,,,,,,
0.016736402,0,100015,,,,,,
0.024497487,0,100016,,,,,,
0.007153076,0,100017,,,,,,
0.206632653,1,100018,,,,,,
0.032366071,0,100019,,,,,,
0.073308271,0,100020,,,,,,
0.429487179,1,100021,,,,,,
0.01878287,0,100022,,,,,,
0.016736402,0,100023,,,,,,
0.054380665,0,100024,,,,,,
0.009876543,0,100025,,,,,,
0.004694836,0,100026,,,,,,
0.147420147,0,100027,,,,,,
0.007153076,0,100028,,,,,,
0.054380665,0,100029,,,,,,
0.040662651,0,100030,,,,,,
0.024464832,0,100031,,,,,,
0.032366071,0,100032,,,,,,
0.032366071,0,100033,,,,,,
0.004694836,0,100034,,,,,,
0.019543974,0,100035,,,,,,
0.018726592,0,100036,,,,,,
0.018726592,0,100037,,,,,,
0.016736402,0,100038,,,,,,
0.018726592,0,100039,,,,,,
0.032366071,0,100040,,,,,,
0.007153076,0,100041,,,,,,
0.163793103,1,100042,,,,,,
0.054380665,0,100043,,,,,,
0.019543974,0,100044,,,,,,
0.024497487,0,100045,,,,,,
0.024497487,0,100046,,,,,,
0.080347448,0,100047,,,,,,
0.007153076,0,100048,,,,,,
0.016736402,0,100049,,,,,,
0.058394161,0,100050,,,,,,
0.00990099,0,100051,,,,,,
0.606060606,1,100052,,,,,,
0.035409035,0,100053,,,,,,
0.024497487,0,100054,,,,,,
0.035409035,0,100055,,,,,,
0.009876543,0,100056,,,,,,
0.01878287,0,100057,,,,,,
0.007153076,0,100058,,,,,,
0.016736402,0,100059,,,,,,
0.147420147,0,100060,,,,,,
0.016736402,0,100061,,,,,,
0,0,100062,,,,,,
0.095238095,0,100063,,,,,,
0.018726592,0,100064,,,,,,
0.024464832,0,100065,,,,,,
0.004694836,0,100066,,,,,,
0.004694836,0,100067,,,,,,
0.024497487,0,100068,,,,,,
0.01878287,0,100069,,,,,,
0.007153076,0,100070,,,,,,
0.298245614,1,100071,,,,,,
0.016736402,0,100072,,,,,,
0.016736402,0,100073,,,,,,
0.073308271,0,100074,,,,,,
0.01878287,0,100075,,,,,,
0.007153076,0,100076,,,,,,
0.035409035,0,100077,,,,,,
0.019543974,0,100078,,,,,,
0.004694836,0,100079,,,,,,
0.131078224,0,100080,,,,,,
